name,city,callsign,locator
Scouting Beyloo ter Horst,Beilen,PA00BTH,JO32FU
Scouting Marsua,Maarssen,PA0AA,JO
Scouting St. Pancratius/Maria Immaculata Erica,Erica,PA0ABE,JO32LR
Scouting Alphen,Alphen (NB),PA0GOR,JO21LL
Scouting St. Job Leuken-Weert,Weert,PA0HMV,JO21UG
Scouting Sint Martinus Breda-West,Breda,PA0HWB,JO21N
Scouting Elfregi Zaanstreek,Zaandam,PA0JNH,JO22JL
Dr Albert Schweitzer,Eindhoven,PA0M,jo21ql
Sc.Jeanne d'Arc Halsteren,Halsteren,PA0RPA,JO21DM
Scouting Paulus,Helmond,PA0TLM,JO21UL
Pakawevers-groep,Neede,PA0TWE,JO32HD
de Watergeuzen,Zaandam,PA0ZWV,JO22kn
jhr schimmelpenninck,Rhenen,PA12JSG,JO21SX
Scouting Petrus en Paulus.,Bergen op Zoom,PA1ADG,JO21DL
Scouting Peerke Donders,Tilburg,PA1ASP,JO21MN
Ooievaarsgroep,Heerjansdam,PA1AW,JO21gu
Sc. Oosterhof-Niej Begin,Rijssen,PA1BOR,JO32GG
St. Stanislaus Kostka,Veldhoven,pa1bp,JO21QJ
Scouting Impeesa,Amersfoort,PA1EDL,JO22QD
Scouting Mensinghe Roden,Roden,PA1ET,JO33FD
Mr. van Daalgroep,Boskoop,PA1FJ,JO22hb
Scouting Made,Made,PA1FM,JO21JQ
Scouting st. Andries Weurt,Weurt,PA1FZH,JO21VU
Scouting Dalfsen Dalflandgroep,Dalfsen,PA1GWS,JO32DM
Scoutinggroep de Esdoorn,Leeuwarden,PA1HS,JO23VE
Burgemeester Herman Witte groep,Eindhoven,PA1LEO,JO21RL
St. George,Assen,PA1MHF,JO32GX
De Zwervers,Assen,PA1MHF,JO32gx
Scouting Livingstone,Eindhoven,PA1PTP,JO21RL
Scouting Limmen,Limmen,PA1VW,JO22IN
Dr. A.E. Hermansgroep,Driebergen-Rijsenburg,PA2RVL,JO22PB
Scouting De Linde,Peperga,PA2WRD,JO32AU
Scouting Taize Groep Schiedam-Kethel,Schiedam,PA3AFG,JO21EW
Scouting Anna Paulowna,Anna Paulowna,PA3AGT,JO22JU
Dr.Ariens-Ingridgroep,Hengelo (O),PA3AI,JO32JG
Scouting Johan van den Kornputgroep,Steenwijk,PA3AKK,JO32BT
Stichting Scouting St Victor,Waddinxveen,PA3ALF,JO22HB
Tapawingo,Eerbeek,PA3ASW,JO32AC
Scouting David G. Alford,Vorden,PA3BIV,JO32D
Hertog van Beijeren-Gosaha,Goes,PA3CKP,JO11WM
Vaandrig Lengton Groep,Zwolle,PA3DAT,JO32BM
Scouting Zevenbergen,Zevenbergen,PA3DEW,JO21HP
Dutmella,Son en Breugel,pa3dsc,JO21RM
Scouting Oisterwijk,Oisterwijk,PA3DVI,JO21ON
Scouting Rey de Carle,Tilburg,PA3E,JO21MO
Scouting 'Schultegroep' Diever,Diever,PA3EFR,JO32DU
Margaretha Sinclair,Denekamp,PA3ESO,JO32mj
Scouting Dr. Akkermansgroep,Drunen,PA3EWC,JO
Hopman Latour Groep,Eindhoven,Pa3ewg,JO21rk
Scouting Veghel,Veghel,pa3ezc,JO21mc
Scouting Nieuwerkerk aan den IJssel,Nieuwerkerk aan den IJssel,PA3F,JO21HX
Scouting Rijpelberg,Helmond,PA3FFk,JO21UL
Scouting Uotha,Uden,PA3FFL,JO21TP
Scouting Nanne Zwiep,Enschede,PA3FGQ,JO32KE
Sc. Pres. F.D. Roosevelt,Eindhoven,PA3FTB,JO21SK
Scouting Nijkerk,Nijkerk,PA3FYG,JO22RF
Scouting Wielewaal,Eindhoven,PA3GCJ,JO21RL
Nico Steenbeekgroep,IJsselstein,PA3GNC,JO22MA
Hendrik Hudson,Hengelo (O),PA3GQL,JO32JG
Soekwa,Hoogland,PA3GQS,JO22QE
St. Willibrordus,Brunssum,PA3gun,JO20XW
St.-Christoffelgroep Hintham-Rosmalen,s-Hertogenbosch,PA3GYK,JO21QQ
De Brimzen,Buitenpost,PA3HDM,JO33BG
Scoutinggroep Waterland,Monnickendam,PA3HGP,JO22MK
Maria Goretti - Pey,Echt,PA3i,JO21WC
Bataven Ludger,Hengelo (O),PA3JWM,JO32JF
"Chr. Scoutinggroep ""Jan van Riebeeck""",Eefde,PA3NIK,JO32CD
Abel Tasmangroep,Julianadorp,PA3RGH,JO22IV
Scoutinggroep Minerva,Den Helder,PA3RSB,JO22JW
Titus Brandsma,Medemblik,PA3RT,JO22NS
Scouting Beek en Donk,Beek en Donk,PA3RVG,JO21TM
Scouting Dirk Duyvel,Alkmaar,PA3WEG,JO22JP
Scouting Martin Luther King,Kaatsheuvel,PA3WSK,JO21MP
St Adrianusgroep,Hilvarenbeek,PA4AGO,JO21NL
St. Bernulphus,Oosterbeek,PA4H,JO21VX
Scouting Novo Mundo,Almere,PA4WK,JO22oi
Scouting Boxtel,Boxtel,PA5BOX,JO21PO
Scouting de Granaet,Dokkum,PA5BUK,JO23XH
Scouting Aalten,Aalten,PA5OAN,JO31HW
Scoutingvereniging Luchtscouts Vliegveld Lelystad (L.V.L.),Lelystad,Pa5rob,JO22rm
De Hoeve,Rijswijk (ZH),PA6HYG,JO22da
De Jaguars,Rijswijk (ZH),PA6JAG,JO22DB
John McCormickgroep,Zoetermeer,PA6JMC,JO22GB
Jan van Hoof-groep,Gouda,PA6JVH,JO22ia
Scouting Laurentius,Dongen,PA6PACK,JO21KO
